post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
182732376.the-stairwell-into-night,2025-12-28T01:00:04.289Z,true,2025-12-28T01:00:04.430Z,2025-12-28T01:00:04.430Z,newsletter,everyone,The Stairwell Into Night,A Story,
182552651.the-prosecution-never-rests,,false,,,newsletter,everyone,,,
182019120.what-i-learned-from-my-first-larp,2025-12-19T03:23:56.902Z,true,2025-12-19T03:23:57.045Z,2025-12-19T03:23:57.045Z,newsletter,everyone,What I Learned From My First LARP,Dispatches from Fielding's Hollow (but no spoilers),
181095910.selecting-a-dance-instructor,2025-12-09T04:17:28.735Z,true,2025-12-09T04:17:28.880Z,2025-12-09T04:17:28.880Z,newsletter,everyone,Selecting A Dance Instructor,It's a surprisingly opaque market!,
180814698.8c0,,false,,,newsletter,everyone,,,
180813238.lizard-brain-and-higher-self,,false,,,newsletter,everyone,,,
180794328.gamification-frequently-misses-the,,false,,,newsletter,everyone,,,
180765748.826,,false,,,newsletter,everyone,,,
180765737.1d2,,false,,,newsletter,everyone,,,
180765499.chinese-peptides-and-the-precautionary,,false,,,newsletter,everyone,,,
180059055.maybe-jealousy-is-fundamentally-about,2025-12-01T18:13:25.264Z,true,2025-12-01T18:13:25.744Z,2025-12-01T18:13:25.744Z,newsletter,everyone,Maybe Jealousy Is Fundamentally About Lack?,Meditations on polyamory from someone who's never tried it,
179948968.using-willpower-is-a-leading-indicator,2025-11-26T19:44:21.651Z,true,2025-11-26T19:44:21.918Z,2025-11-26T19:44:21.918Z,newsletter,everyone,Using Willpower Is A Leading Indicator Of Failure,Against instrumental suffering,
179567657.anxiety-and-fear-are-fundamentally,,false,,,newsletter,everyone,,,
179174357.anxiety-as-a-series-of-optional-chores,,false,,,newsletter,everyone,,,
179154123.menswear-is-framing-for-your-personality,2025-11-17T17:52:11.361Z,true,2025-11-17T17:52:11.810Z,2025-11-17T17:52:11.810Z,newsletter,everyone,"Menswear Is Framing For Your Personality, Not Your Personality",It seemed worth pointing out,
178909770.7e7,,false,,,newsletter,everyone,,,
178903209.ai-models-are-pretty-decent-tutor,2025-11-21T18:24:43.553Z,true,2025-11-21T18:24:43.797Z,2025-11-21T18:24:43.797Z,newsletter,everyone,AI Models Are Pretty Decent Tutor-Stylists,How to develop taste using an unreliable but useful advisor,
178719486.menswear-is-a-subcultural-signaling,2025-11-14T17:23:57.293Z,true,2025-11-14T17:23:57.626Z,2025-11-14T17:23:57.626Z,newsletter,everyone,Menswear Is A Subcultural Signaling System,This is useful for assembling a wardrobe!,
177749807.not-a-book-review-the-attractive,2025-11-07T23:09:36.163Z,true,2025-11-07T23:09:36.359Z,2025-11-07T23:09:36.359Z,newsletter,everyone,Not-A-Book-Review: The Attractive Man (Dating Coach Service),"Below: the only acceptably detailed product review that exists for any service whatsoever in this ~2 billion dollars/year industry. What the hell, guys.",
177691406.the-core-gender-neutral-platonic,,false,,,newsletter,everyone,,,
177481769.you-want-exposure-therapy-to-be-ego,2025-10-31T19:34:09.057Z,true,2025-10-31T19:34:09.248Z,2025-10-31T19:34:09.248Z,newsletter,everyone,You Want Exposure Therapy To Be Ego-Syntonic,What makes ERP actually stick?,
177185206.husky-syndrome,2025-10-26T23:36:29.185Z,true,2025-10-26T23:36:29.294Z,2025-10-26T23:36:29.294Z,newsletter,everyone,Husky Syndrome,Some n=1 college experiences,
176871065.you-can-just-give-teenagers-social,2025-10-24T02:13:43.954Z,true,2025-10-24T02:13:44.072Z,2025-10-24T02:13:44.072Z,newsletter,everyone,You Can Just Give Teenagers Social Anxiety!,The how-to guide nobody wanted,
176768912.the-goal,,false,,,newsletter,everyone,,,
176505536.slutcon-confidence-engineering-postmortem,2025-10-20T19:12:40.622Z,true,2025-10-20T19:12:40.791Z,2025-10-20T19:12:40.791Z,newsletter,everyone,Slutcon: Confidence Engineering Postmortem,HOLY SHIT IT FUCKING WORKED. For at least a couple people. But it needs improvements.,
176294844.slutcon-diary,2025-10-18T03:37:28.057Z,true,2025-10-18T03:37:28.283Z,2025-10-18T03:37:28.283Z,newsletter,everyone,SlutCon Diary,PARENTAL ADVISORY: Parents please don't read this. ,
176182556.slutcon-postmortem,,false,,,newsletter,everyone,,,
176168801.the-slutcon-hall-of-mirrors,,false,,,newsletter,everyone,,,
175438154.rumination-is-a-functional-goal-achievement,2025-10-07T18:51:21.182Z,true,2025-10-07T18:51:21.361Z,2025-10-07T18:51:21.361Z,newsletter,everyone,Rumination Is A Functional Goal-Achievement Subsystem,The James-Lange Theory Of Chilling The Fuck Out,
175384576.parasite-apostle,2025-10-10T02:10:19.157Z,true,2025-10-10T02:10:19.286Z,2025-10-10T02:10:19.286Z,newsletter,everyone,Parasite Apostle,Ahhhhhhhhhh,
175309952.and-now-for-something-completely,,false,,,newsletter,everyone,,,
175295222.the-arsenal-of-mortification,,false,,,newsletter,everyone,,,
174944600.different-types-of-vulnerability,,false,,,newsletter,everyone,,,
174845994.deliberate-cringe-as-lifestyle-choice,,false,,,newsletter,everyone,,,
174494794.how-exposure-therapy-sometimes-works,2025-09-29T14:50:51.325Z,true,2025-09-29T14:50:51.440Z,2025-09-29T14:50:51.440Z,newsletter,everyone,How Exposure Therapy (Sometimes) Works,"Exposure therapy and response prevention works for OCD and most phobias, but it's a lot worse at dealing with social anxiety. Why?",
174306640.my-most-recent-dates,,false,,,newsletter,everyone,,,
174069965.time-to-figure-out-how-to-teach-satori,,false,,,newsletter,everyone,,,
172961192.how-to-engineer-authentic-confidence,2025-09-13T17:39:40.932Z,true,2025-09-13T17:39:41.053Z,2025-09-13T17:39:41.053Z,newsletter,everyone,"Confidence Engineering: Or, Metacognitive Therapy For Social-Romantic Anxiety","""Have you considered just not thinking about this problem?""",
172829665.the-social-calculation-problem,2025-09-06T03:55:24.033Z,true,2025-09-06T03:55:24.164Z,2025-09-06T03:55:24.164Z,newsletter,everyone,Mutually Assured Consideration,[Empathy: Legendary Failure],
172621710.the-skull-and-the-emperor,,false,,,newsletter,everyone,,,
172417019.im-gonna-try-and-help-someone-achieve,2025-09-21T13:09:20.380Z,true,2025-09-21T13:09:20.557Z,2025-09-21T13:09:20.557Z,newsletter,everyone,I'm Gonna Try And Help Some Guys Achieve Satori At Slutcon,"Dating workshops, RLHF, and Men",
172101388.from-salsa-import,2025-08-27T21:41:07.994Z,true,2025-08-27T21:41:08.219Z,2025-08-27T21:41:08.219Z,newsletter,everyone,from Salsa import *,Pair programming,
172051842.victorian-salsa,2025-08-29T22:47:54.944Z,true,2025-08-29T22:47:55.083Z,2025-08-29T22:47:55.083Z,newsletter,everyone,Victorian Salsa,"Or, Things Nobody Can Stop You From Doing With Suno",
172018938.cbt-for-social-anxiety-state-of-the,,false,,,newsletter,everyone,,,
171900431.aspiring-phoenix,2025-10-05T00:43:16.473Z,true,2025-10-05T00:43:16.607Z,2025-10-05T00:43:16.607Z,newsletter,everyone,Combustion Notes,How to Catch Fire,
171819053.cupids-optometrist,2025-08-24T18:17:47.248Z,true,2025-08-24T18:17:47.356Z,2025-08-24T18:17:47.356Z,newsletter,everyone,Cupid's Optometrist,Contact solutions,
171752825.failure-to-converge,,false,,,newsletter,everyone,,,
171395333.how-to-manufacture-a-community,2025-08-23T22:08:40.638Z,true,2025-08-23T22:08:40.722Z,2025-08-23T22:08:40.722Z,newsletter,everyone,How To: Manufacture A Community,Friendship engineering,
